fold,equation,material,file,sigma0,fraction,mlp_only,trf_cold,trf_warm,n_obs,n_train,n_test
LOO_000_KupferDigital_BAM_StressRelaxation_B_03_,guiu_pratt,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_03 ,473.884008089133,0.001,10.661944389343262,408.4782274667723,408.47826087707267,9,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_B_03_,guiu_pratt,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_03 ,473.884008089133,0.005,10.661944389343262,251.26954315859956,251.26954474827824,44,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_B_03_,guiu_pratt,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_03 ,473.884008089133,0.01,10.661944389343262,105.73761924843043,105.73755157478337,87,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_B_03_,guiu_pratt,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_03 ,473.884008089133,0.02,10.661944389343262,35.128633247174186,35.12840289112772,174,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_B_03_,guiu_pratt,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_03 ,473.884008089133,0.05,10.661944389343262,10.848837336701502,10.848791942778423,434,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_B_03_,guiu_pratt,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_03 ,473.884008089133,0.1,10.661944389343262,4.167630364139873,4.167613252521806,868,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_B_03_,guiu_pratt,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_03 ,473.884008089133,0.2,10.661944389343262,0.6775676894913114,0.6775657348105282,1735,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_B_03_,guiu_pratt,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_03 ,473.884008089133,0.4,10.661944389343262,0.8289661023836195,0.8289710129025438,3469,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_B_03_,thermal,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_03 ,473.884008089133,0.001,174.21397399902344,408.47823952005837,408.47825402928146,9,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_B_03_,thermal,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_03 ,473.884008089133,0.005,174.21397399902344,251.2697797811319,251.2698078403783,44,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_B_03_,thermal,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_03 ,473.884008089133,0.01,174.21397399902344,105.73791708878916,105.73759885914593,87,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_B_03_,thermal,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_03 ,473.884008089133,0.02,174.21397399902344,35.12877743192809,35.128403044870694,174,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_B_03_,thermal,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_03 ,473.884008089133,0.05,174.21397399902344,10.848871982087823,10.848743120828189,434,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_B_03_,thermal,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_03 ,473.884008089133,0.1,174.21397399902344,4.167654475631806,4.167636297490368,868,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_B_03_,thermal,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_03 ,473.884008089133,0.2,174.21397399902344,0.677569081148661,0.6775695852498533,1735,16,1
LOO_000_KupferDigital_BAM_StressRelaxation_B_03_,thermal,CuZn21Si3P,KupferDigital_BAM_StressRelaxation_B_03 ,473.884008089133,0.4,174.21397399902344,0.8289643328218192,0.828964419748605,3469,16,1
